run_id,best_target,type,best_d_total,structure_tier,s2_state,enough_levels_full,enough_levels_partial,reason
699.0,phi,meson,16.624999168750044,none,none,1.0,1.0,low_Q_lock<0.35;tier_below_level1
700.0,delta_1232,baryon,11.218357209312575,level1,none,0.0,1.0,baryon_to_complex_core
701.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
702.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
703.0,delta_1232,baryon,19.199999520000013,none,structural,0.0,0.0,tier_below_level1;baryon_to_complex_core
704.0,delta_1232,baryon,11.339130158343966,level1,none,0.0,1.0,baryon_to_complex_core
705.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
706.0,phi,meson,0.9999999500000034,level1,none,1.0,1.0,max_blocks_reached
707.0,delta_1232,baryon,17.21924272475167,none,none,1.0,1.0,low_Q_lock<0.35;tier_below_level1;baryon_to_complex_core
708.0,delta_1232,baryon,2.8512076551836705,level1,none,1.0,1.0,baryon_to_complex_core
709.0,quark_ud_const,effective_quark,7.406855679567732,none,none,1.0,1.0,low_Q_lock<0.35;tier_below_level1
710.0,delta_1232,baryon,12.891925147928712,level1,none,0.0,1.0,baryon_to_complex_core
711.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
712.0,delta_1232,baryon,19.199999520000013,none,none,0.0,0.0,tier_below_level1;baryon_to_complex_core
713.0,phi,meson,0.999999950000009,level1,none,1.0,1.0,max_blocks_reached
714.0,delta_1232,baryon,6.347161678287234,level1,none,1.0,1.0,baryon_to_complex_core
715.0,delta_1232,baryon,4.553899128651308,level1,none,1.0,1.0,baryon_to_complex_core
716.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
717.0,quark_ud_const,effective_quark,8.449193940131723,none,none,1.0,1.0,tier_below_level1
718.0,delta_1232,baryon,19.199999520000006,level1,none,0.0,0.0,baryon_to_complex_core
719.0,delta_1232,baryon,19.199999520000006,level1,none,0.0,0.0,baryon_to_complex_core
720.0,delta_1232,baryon,7.74192143911518,level1,none,1.0,1.0,baryon_to_complex_core
721.0,delta_1232,baryon,15.90434743743778,level1,none,0.0,1.0,baryon_to_complex_core
722.0,delta_1232,baryon,2.851207655183669,level1,none,1.0,1.0,baryon_to_complex_core
723.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
724.0,delta_1232,baryon,11.339130158343966,level1,none,0.0,1.0,baryon_to_complex_core
725.0,quark_ud_const,effective_quark,7.823790983793327,level2,none,1.0,1.0,max_blocks_reached
726.0,phi,meson,0.9999999500000034,level1,none,1.0,1.0,max_blocks_reached
727.0,delta_1232,baryon,7.74192143911518,level1,none,1.0,1.0,baryon_to_complex_core
728.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
729.0,delta_1232,baryon,19.199999520000013,none,none,0.0,0.0,low_Q_lock<0.35;tier_below_level1;baryon_to_complex_core
730.0,delta_1232,baryon,12.89192514792872,level1,none,0.0,1.0,baryon_to_complex_core
731.0,quark_ud_const,effective_quark,12.394897179938301,level3,structural,1.0,1.0,max_blocks_reached
732.0,quark_ud_const,effective_quark,11.246808324211262,level2,none,1.0,1.0,max_blocks_reached
733.0,delta_1232,baryon,7.741921439115174,level1,none,1.0,1.0,baryon_to_complex_core
734.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
735.0,quark_ud_const,effective_quark,9.917021114580404,none,none,1.0,1.0,low_Q_lock<0.35;tier_below_level1
736.0,delta_1232,baryon,8.85772924777754,level1,none,1.0,1.0,baryon_to_complex_core
737.0,delta_1232,baryon,19.199999520000006,level1,none,0.0,0.0,baryon_to_complex_core
738.0,delta_1232,baryon,3.088808296009167,level1,none,1.0,1.0,baryon_to_complex_core
739.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
740.0,delta_1232,baryon,17.416978818985438,none,latent,1.0,1.0,low_Q_lock<0.35;tier_below_level1;baryon_to_complex_core
741.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
742.0,delta_1232,baryon,3.0888082960091587,level1,none,1.0,1.0,baryon_to_complex_core
743.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
744.0,delta_1232,baryon,6.347161678287232,level1,none,1.0,1.0,baryon_to_complex_core
745.0,phi,meson,0.9999999500000034,level1,none,1.0,1.0,max_blocks_reached
746.0,phi,meson,0.9999999500000034,level1,none,1.0,1.0,max_blocks_reached
747.0,delta_1232,baryon,11.726949327195026,level1,none,1.0,1.0,baryon_to_complex_core
748.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
749.0,kaon,meson,5.107445446200115,level1,none,1.0,1.0,max_blocks_reached
750.0,delta_1232,baryon,2.851207655183676,level1,none,1.0,1.0,baryon_to_complex_core
751.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
752.0,delta_1232,baryon,3.0888082960091667,level1,none,1.0,1.0,baryon_to_complex_core
753.0,phi,meson,0.9999999500000034,level1,none,1.0,1.0,max_blocks_reached
754.0,quark_ud_const,effective_quark,8.236170084891809,level2,none,1.0,1.0,max_blocks_reached
755.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
756.0,quark_ud_const,effective_quark,7.980141722877926,none,none,1.0,1.0,low_Q_lock<0.35;tier_below_level1
757.0,delta_1232,baryon,13.029951381000494,level1,none,0.0,1.0,baryon_to_complex_core
758.0,delta_1232,baryon,11.175176234999359,level1,none,1.0,1.0,baryon_to_complex_core
759.0,delta_1232,baryon,10.531440960771075,level1,none,1.0,1.0,baryon_to_complex_core
760.0,delta_1232,baryon,3.088808296009163,level1,none,1.0,1.0,baryon_to_complex_core
761.0,kaon,meson,19.841580270298035,none,latent,1.0,1.0,low_Q_lock<0.35;tier_below_level1
762.0,delta_1232,baryon,19.199999520000006,level2,none,0.0,0.0,baryon_to_complex_core
763.0,delta_1232,baryon,11.175176234999356,level1,none,1.0,1.0,baryon_to_complex_core
764.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
765.0,delta_1232,baryon,3.0888082960091667,level1,none,1.0,1.0,baryon_to_complex_core
766.0,delta_1232,baryon,4.553899128651308,level1,none,1.0,1.0,baryon_to_complex_core
767.0,delta_1232,baryon,8.857729247777536,level1,none,1.0,1.0,baryon_to_complex_core
768.0,delta_1232,baryon,3.088808296009166,level1,none,1.0,1.0,baryon_to_complex_core
769.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
770.0,delta_1232,baryon,2.8512076551836705,level1,none,1.0,1.0,baryon_to_complex_core
771.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
772.0,delta_1232,baryon,19.199999520000013,none,none,0.0,0.0,tier_below_level1;baryon_to_complex_core
773.0,delta_1232,baryon,19.199999520000006,level1,none,0.0,0.0,baryon_to_complex_core
774.0,quark_ud_const,effective_quark,9.580141690877928,level2,none,1.0,1.0,max_blocks_reached
775.0,delta_1232,baryon,19.199999520000006,level1,none,0.0,0.0,baryon_to_complex_core
776.0,delta_1232,baryon,3.088808296009157,level1,none,1.0,1.0,baryon_to_complex_core
777.0,delta_1232,baryon,19.199999520000013,level2,latent,0.0,0.0,baryon_to_complex_core
778.0,quark_ud_const,effective_quark,10.738737902934925,none,latent,1.0,1.0,tier_below_level1
779.0,delta_1232,baryon,4.553899128651303,level1,none,1.0,1.0,baryon_to_complex_core
780.0,phi,meson,0.9999999500000034,level1,none,1.0,1.0,max_blocks_reached
781.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
782.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
783.0,delta_1232,baryon,3.0888082960091605,level1,none,1.0,1.0,baryon_to_complex_core
784.0,delta_1232,baryon,2.851207655183673,level1,none,1.0,1.0,baryon_to_complex_core
785.0,kaon,meson,17.75778879605563,none,none,1.0,1.0,low_Q_lock<0.35;tier_below_level1
786.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
787.0,delta_1232,baryon,19.199999520000006,level1,none,0.0,0.0,baryon_to_complex_core
