run_id,dof_grade,dof_family_id,dof_family_friendly,R_S1_Q,R_S2_S1,dominant_parity,lock_Q0_S1_0_1-1_ratio,band_count,rho_lock,lock_quality_Q,participation_entropy,dna_cluster_id
35,A,F2392,LOCKED_lowEnt_hiBands_S1Q_bin8_S2S1_bin3,7.872301245699462,8.940155644975178,,0.6445525396390236,17,0.20758605506875857,0.9998225569237524,0.0017962318227843427,
36,A,F7881,LOCKED_lowEnt_maxBands_S1Q_bin8_S2S1_bin3,8.72680218337384,8.147039247212698,,0.6363454316303052,29,0.25077701805791835,0.9996779783883984,0.003048386152902826,
37,A,F6D97,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,6.478375500780455,6.2907253765005855,,0.6489680840112695,12,0.3534921071343403,0.9995796253571099,0.003943666465239087,
38,A,FA8CD,LOCKED_lowEnt_midBands_S1Q_bin6_S2S1_bin3,4.837425044111631,7.121296289408991,,0.631217560588135,13,0.43442027809600964,0.999064012639094,0.008102037915576812,
39,A,F58FC,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,6.22955431885893,2.2632895015493095,,0.6209670746112451,11,0.7784414127945435,0.9992713064717684,0.006377273941488154,
4,A,FDDA9,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,8.406767858562155,9.42202135886859,,0.6454156056700866,12,0.48058841343513664,0.9996347329738714,0.003485151743696476,
40,A,FC852,LOCKED_lowEnt_maxBands_S1Q_bin4_S2S1_bin3,3.562362636835984,8.400652954552932,,0.618281658158173,26,0.19973439096994638,0.9996932298817782,0.002956177269820671,
41,A,F2821,LOCKED_lowEnt_midBands_S1Q_bin4_S2S1_bin3,3.938644409020732,6.332619984906388,,0.6383381551108626,11,0.5387648604249894,0.9995859762370091,0.003906272264561669,
42,B,F8AF9,LOCKED_midEnt_midBands_S1Q_bin7_S2S1_bin3,5.364550057791808,5.315261083144084,,0.617459355491192,11,0.26808668468173924,0.9987203998793739,0.01064621866577906,
43,A,F4C22,LOCKED_lowEnt_vhiBands_S1Q_bin5_S2S1_bin3,4.424243110976006,9.010171515171324,,0.6071284706325853,20,0.16774578743557314,0.999456084870079,0.004918009064589267,
44,B,F66F6,LOCKED_midEnt_midBands_S1Q_bin2_S2S1_bin3,2.616043124466897,8.996489356810772,,0.6562231064018001,12,0.3792301662348556,0.9980520612186412,0.015031235276644905,
45,A,FFC97,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,9.735420515032917,8.943513062971642,,0.6169395890626594,22,0.16362013345846463,0.9997120943632076,0.002764646425088321,
46,A,FFF8B,LOCKED_lowEnt_midBands_S1Q_bin7_S2S1_bin3,5.147806229478171,9.997717457557291,,0.6110412558200891,12,0.3556693867227833,0.9996521493471047,0.003323989004443111,
47,A,F7E9D,LOCKED_lowEnt_maxBands_S1Q_bin1_S2S1_bin3,2.050318989093465,8.838873804751486,,0.6411217653399832,30,0.2662034308786332,0.9996558990362865,0.003294573087309246,
48,A,FB7C0,LOCKED_lowEnt_midBands_S1Q_bin6_S2S1_bin3,4.746229024711027,4.911845094693162,,0.6594091876464409,12,0.3536557897506232,0.9996865563161575,0.002980559294059296,
49,C,FCEA4,REJECTED,,,,,0,,,,
5,A,F6D97,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,7.641855232019592,5.099833348071699,,0.6371708247057623,11,0.3862054715159813,0.9994552935399219,0.004936383741697897,
50,A,F9B65,LOCKED_lowEnt_midBands_S1Q_bin5_S2S1_bin3,4.09483425362533,2.7361723399740994,,0.6317126761350771,13,0.4036645491052658,0.9997461018094114,0.0024572668854549,
51,A,FB7C0,LOCKED_lowEnt_midBands_S1Q_bin6_S2S1_bin3,4.834187169833682,3.3033691515642323,,0.611134369625902,12,0.3179104020226197,0.999681599723028,0.0029590668445454824,
52,B,F4DE8,SOFT_LOCK_midEnt_midBands_S1Q_bin3_S2S1_bin3,3.4044429119164112,3.5381185964033977,,0.6060498345020249,11,0.7074445502768346,0.9977567529053051,0.017353899389785914,
53,A,F5139,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,7.131467661390204,6.914685455716307,,0.5975559361683714,23,0.3615786257124173,0.9990920658240661,0.007708182688265332,
54,A,FCF8D,LOCKED_lowEnt_hiBands_S1Q_bin8_S2S1_bin3,9.250061664066555,4.386465772737049,,0.614213460766375,16,0.40338486276992475,0.9994761030207264,0.0046738549205605625,
55,B,F644D,LOCKED_midEnt_midBands_S1Q_bin6_S2S1_bin3,4.659773337721359,7.225272041993642,,0.6314266810762784,11,0.5370424391279504,0.9986104447133631,0.011459290029011113,
56,A,FFC97,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,8.687432772421008,7.540476308140166,,0.6342450098429494,21,0.19778520065950395,0.9998854227526704,0.0012182861466412764,
57,A,F0DB2,LOCKED_lowEnt_hiBands_S1Q_bin7_S2S1_bin3,5.139138195503964,2.7643345555366095,,0.6136260444468303,19,0.1755931992346051,0.9998099647285891,0.0019467624414836217,
58,A,FCDD6,LOCKED_lowEnt_midBands_S1Q_bin7_S2S1_bin3,5.607644352373562,2.340594568120636,,0.5971505361627166,14,0.542407843200912,0.9991648330531007,0.007257908148195208,
59,B,F94E8,LOCKED_midEnt_lowBands_S1Q_bin8_S2S1_bin3,9.078780072136007,3.1031404159676588,,0.6003150194552294,6,0.1830881814939822,0.9980960478148169,0.015104935949612895,
6,A,F387F,LOCKED_lowEnt_hiBands_S1Q_bin8_S2S1_bin3,8.92301495994699,7.914217256180699,,0.6472228503866798,18,0.3176111018215882,0.9997921817292669,0.002082283707065139,
60,A,F667F,LOCKED_lowEnt_midBands_S1Q_bin7_S2S1_bin3,5.457939174986511,3.641573154013262,,0.6316736390533031,11,0.4394201931870208,0.9987575007722594,0.009847416867106572,
61,A,F6D97,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,9.934122083509871,6.5454546833896305,,0.6041300015971663,14,0.3369884196197135,0.9994561762017954,0.004868574381181816,
62,B,FABA5,LOCKED_midEnt_hiBands_S1Q_bin8_S2S1_bin3,9.678732714682818,8.565036994018573,,0.6347122307867482,15,0.3988080090552536,0.9982246445509347,0.013840083600825176,
63,A,FFF8B,LOCKED_lowEnt_midBands_S1Q_bin7_S2S1_bin3,5.6561357051706285,7.28264743846028,,0.6526791367732869,12,0.38749279202866016,0.9992355883400904,0.006528328372518113,
64,A,FEAFA,LOCKED_lowEnt_vhiBands_S1Q_bin1_S2S1_bin3,2.482325569854922,7.241206525075674,,0.6286309443359144,20,0.40667487591435053,0.9995678753046642,0.004019073263813087,
65,A,F6D97,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,7.023781902616597,6.976970277863893,,0.6171205507608917,12,0.3918211431738451,0.9995165503182819,0.0045052006258981345,
66,C,F6D65,REJECTED,8.705727988865915,7.878289032610127,,0.6214940568141406,30,0.4740435042178108,0.00011235355062495791,0.012417365208580658,
67,A,FE98A,LOCKED_lowEnt_midBands_S1Q_bin1_S2S1_bin3,2.353630338618771,7.129644387081274,,0.6326030070429731,11,0.4559942459487942,0.999604618254498,0.0037632068150258158,
68,A,F59C9,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,8.52125042153506,2.541690568477436,,0.6403123018646749,11,0.2941270611084191,0.9993446516335482,0.005773086510578824,
69,B,F6FD7,LOCKED_midEnt_vhiBands_S1Q_bin7_S2S1_bin3,5.140179631281862,9.441605655062029,,0.6428143760193739,21,0.16035335902303208,0.9987443664532291,0.010262772985603493,
