run_id,best_target,type,best_d_total,structure_tier,s2_state,enough_levels,reason
887.0,rho,meson,10.443092078091734,none,latent,1.0,tier_too_low
888.0,rho,meson,9.610493625996202,none,latent,1.0,tier_too_low
889.0,proton,baryon,23.768124247384044,none,latent,1.0,tier_too_low
890.0,proton,baryon,11.401400650717523,level1,none,1.0,tier_too_low
891.0,proton,baryon,17.30098281354443,none,none,1.0,tier_too_low
892.0,rho,meson,10.631216734351295,level1,none,1.0,distance_high
893.0,rho,meson,10.656426800272843,none,none,1.0,tier_too_low
894.0,proton,baryon,23.17778100942301,none,latent,1.0,tier_too_low
895.0,rho,meson,21.196005279893424,none,latent,1.0,tier_too_low
896.0,proton,baryon,17.520513945936536,level1,latent,0.0,tier_too_low
897.0,rho,meson,6.379012183081244,none,latent,1.0,tier_too_low
898.0,proton,baryon,5.556139053912133,none,latent,0.0,tier_too_low
899.0,proton,baryon,4.300288204293472,level1,none,0.0,tier_too_low
900.0,rho,meson,24.073736766987253,none,structural,1.0,tier_too_low
901.0,proton,baryon,2.4395652601534152,level1,latent,0.0,tier_too_low
902.0,rho,meson,21.08746385505246,none,latent,1.0,tier_too_low
903.0,rho,meson,10.631216734351298,level1,none,1.0,distance_high
904.0,proton,baryon,6.924484193185669,none,latent,0.0,tier_too_low
905.0,rho,meson,11.655447963654867,none,structural,1.0,tier_too_low
906.0,proton,baryon,21.267565530835807,none,latent,1.0,tier_too_low
907.0,proton,baryon,4.818443796177192,level1,none,0.0,tier_too_low
908.0,proton,baryon,2.439565260153407,level1,none,0.0,tier_too_low
909.0,pion,meson,7.900361299293438,none,structural,1.0,tier_too_low
910.0,proton,baryon,2.87536032661323,level1,none,0.0,tier_too_low
911.0,proton,baryon,22.46702714161369,none,latent,1.0,tier_too_low
912.0,proton,baryon,2.8753603266132277,level1,none,0.0,tier_too_low
913.0,rho,meson,9.610493625996188,none,latent,1.0,tier_too_low
914.0,proton,baryon,20.49322257855848,none,latent,1.0,tier_too_low
915.0,proton,baryon,11.6100938992779,level1,none,1.0,tier_too_low
916.0,rho,meson,9.337859891139974,none,latent,1.0,tier_too_low
917.0,proton,baryon,22.78291774952895,none,latent,1.0,tier_too_low
918.0,rho,meson,21.259453661549557,none,latent,1.0,tier_too_low
919.0,proton,baryon,11.14053409001702,level1,none,1.0,tier_too_low
920.0,proton,baryon,20.232459306103866,none,latent,1.0,tier_too_low
921.0,proton,baryon,2.4395652601534135,level1,none,0.0,tier_too_low
922.0,proton,baryon,3.666986925324471,level1,none,0.0,tier_too_low
923.0,rho,meson,6.16443253290306,none,latent,1.0,tier_too_low
924.0,proton,baryon,17.300982813544426,none,latent,1.0,tier_too_low
925.0,proton,baryon,19.46723770822007,level1,latent,0.0,tier_too_low
926.0,proton,baryon,10.140213147713297,none,latent,0.0,tier_too_low
927.0,rho,meson,23.634155783540532,none,structural,1.0,tier_too_low
928.0,proton,baryon,2.4395652601534024,level1,none,0.0,tier_too_low
930.0,rho,meson,10.490123230793479,none,latent,1.0,tier_too_low
931.0,proton,baryon,2.8753603266132277,level1,none,0.0,tier_too_low
932.0,proton,baryon,3.666986925324475,level1,none,0.0,tier_too_low
933.0,rho,meson,8.880076428807032,none,structural,1.0,tier_too_low
934.0,pion,meson,20.15729728190712,none,structural,1.0,tier_too_low
935.0,rho,meson,10.119752889549765,level1,latent,1.0,distance_high
936.0,proton,baryon,17.409624615703677,level1,latent,0.0,tier_too_low
937.0,proton,baryon,20.49322257855848,none,latent,1.0,tier_too_low
938.0,proton,baryon,17.26022594557063,none,latent,1.0,tier_too_low
939.0,pion,meson,11.970047074770632,none,structural,1.0,tier_too_low
940.0,proton,baryon,14.718743036330382,none,latent,1.0,tier_too_low
941.0,proton,baryon,20.724901196847902,none,latent,1.0,tier_too_low
942.0,proton,baryon,21.65428408623801,none,none,1.0,tier_too_low
943.0,rho,meson,6.348148033187937,none,latent,1.0,tier_too_low
944.0,proton,baryon,21.69584567197056,none,latent,1.0,tier_too_low
945.0,pion,meson,18.29002969080581,none,structural,1.0,tier_too_low
946.0,proton,baryon,18.442646254386634,level1,latent,0.0,tier_too_low
947.0,proton,baryon,14.956198223831663,level1,none,0.0,tier_too_low
948.0,rho,meson,11.655447963654861,none,structural,1.0,tier_too_low
949.0,proton,baryon,2.846159455948176,level1,none,0.0,tier_too_low
950.0,proton,baryon,20.300064598962468,none,latent,1.0,tier_too_low
951.0,proton,baryon,11.610093899277883,level1,none,1.0,tier_too_low
952.0,proton,baryon,18.242048046281422,none,latent,1.0,tier_too_low
953.0,proton,baryon,2.87536032661323,level1,latent,0.0,tier_too_low
954.0,proton,baryon,23.792747869315566,none,none,1.0,tier_too_low
955.0,pion,meson,12.01518980774231,none,structural,1.0,tier_too_low
956.0,proton,baryon,11.14053409001702,level1,none,1.0,tier_too_low
957.0,proton,baryon,17.817211448395984,none,latent,1.0,tier_too_low
958.0,proton,baryon,20.49322257855848,none,latent,1.0,tier_too_low
959.0,pion,meson,9.77844019985521,none,structural,1.0,tier_too_low
960.0,proton,baryon,11.14053409001702,level1,none,1.0,tier_too_low
961.0,proton,baryon,21.440571200357855,none,latent,1.0,tier_too_low
962.0,proton,baryon,24.701594977123527,none,latent,1.0,tier_too_low
963.0,rho,meson,10.119752889549765,level1,none,1.0,distance_high
964.0,proton,baryon,20.384571215035713,none,latent,1.0,tier_too_low
965.0,proton,baryon,6.606669550855003,none,latent,0.0,tier_too_low
966.0,pion,meson,15.560946288426987,none,structural,1.0,tier_too_low
967.0,proton,baryon,15.520356960232055,none,latent,1.0,tier_too_low
968.0,proton,baryon,17.817211448395994,none,latent,1.0,tier_too_low
969.0,proton,baryon,16.255071019528614,level1,none,0.0,tier_too_low
970.0,proton,baryon,2.875360326613234,level1,none,0.0,tier_too_low
971.0,proton,baryon,3.666986925324475,level1,none,0.0,tier_too_low
972.0,proton,baryon,2.439565260153411,level1,none,0.0,tier_too_low
973.0,pion,meson,15.966506670204645,none,structural,1.0,tier_too_low
974.0,proton,baryon,15.403389951088261,none,none,1.0,tier_too_low
975.0,proton,baryon,20.384571215035724,none,latent,1.0,tier_too_low
976.0,proton,baryon,2.846159455948176,level1,none,0.0,tier_too_low
977.0,proton,baryon,20.1771458846741,none,latent,1.0,tier_too_low
978.0,proton,baryon,17.997891470594027,none,latent,1.0,tier_too_low
979.0,proton,baryon,3.666986925324475,level1,none,0.0,tier_too_low
980.0,proton,baryon,2.8753603266132317,level1,none,0.0,tier_too_low
981.0,rho,meson,10.714285582010584,none,structural,0.0,tier_too_low
982.0,proton,baryon,2.4395652601534006,level1,none,0.0,tier_too_low
983.0,proton,baryon,11.14053409001702,level1,none,1.0,tier_too_low
