run_id,best_target,best_family,best_d_total,second_best_target,second_best_family,second_best_d_total,delta_margin
60.0,deuteron,nucleus,3.5511107560000514,delta_1232,delta_like,7.196231806261007,3.645121050260956
61.0,delta_1232,delta_like,7.6799999232000005,eta_prime,eta_prime_like,10.4199998958,2.7399999725999997
62.0,delta_1232,delta_like,7.6799999232000005,eta_prime,eta_prime_like,10.4199998958,2.7399999725999997
63.0,deuteron,nucleus,2.944615090153881,delta_1232,delta_like,6.4919397292380285,3.5473246390841475
64.0,deuteron,nucleus,2.3748145773333498,delta_1232,delta_like,6.7073697608926945,4.332555183559345
65.0,eta_prime,eta_prime_like,1.7533333158000024,phi,phi_like,4.508429323725655,2.755096007925652
66.0,eta_prime,eta_prime_like,0.8547826001478285,phi,phi_like,3.047528252058214,2.1927456519103856
67.0,tau,lepton,4.776139873263224,deuteron,nucleus,5.103859138736874,0.32771926547365027
68.0,eta_prime,eta_prime_like,4.266153803492308,Kstar_892,kstar_like,4.5856835615734886,0.3195297580811802
69.0,delta_1232,delta_like,3.4482797355524437,eta_prime,eta_prime_like,5.202608643626089,1.7543289080736453
70.0,deuteron,nucleus,2.3748145773333498,delta_1232,delta_like,6.553719735994431,4.178905158661081
71.0,delta_1232,delta_like,8.051031156025203,neutron,nucleon_like,9.114036769227338,1.0630056132021348
72.0,delta_1232,delta_like,3.3848964445003764,neutron,nucleon_like,5.787536705375289,2.4026402608749127
73.0,tau,lepton,4.1381814043637,deuteron,nucleus,5.741817607636398,1.603636203272698
74.0,,,inf,,,inf,
75.0,delta_1232,delta_like,9.392969896734593,deuteron,nucleus,9.623097629239565,0.23012773250497176
76.0,deuteron,nucleus,2.4399997560000446,delta_1232,delta_like,8.253043393197355,5.81304363719731
77.0,delta_1232,delta_like,4.140130856807294,eta_prime,eta_prime_like,5.903870908703229,1.763740051895935
78.0,delta_1232,delta_like,4.545869516411383,neutron,nucleon_like,6.320169506102689,1.7742999896913059
79.0,eta_prime,eta_prime_like,4.266153803492308,Kstar_892,kstar_like,4.585683561573489,0.3195297580811811
80.0,delta_1232,delta_like,4.672530141538635,eta_prime,eta_prime_like,5.0033332833,0.3308031417613648
81.0,delta_1232,delta_like,4.415693533397636,eta_prime,eta_prime_like,6.419999935799999,2.0043064024023627
82.0,tau,lepton,0.09777776800001982,delta_1232,delta_like,5.750579648161214,5.652801880161194
83.0,quark_ud_const,quark_like,1.7158415670000005,quark_s_const,quark_like,2.846534629744225,1.1306930627442244
84.0,tau,lepton,0.756923001230755,delta_1232,delta_like,5.923842373427448,5.166919372196693
85.0,eta_prime,eta_prime_like,4.019999959800002,delta_1232,delta_like,4.3034782131774145,0.28347825337741295
86.0,deuteron,nucleus,0.8933332439999772,delta_1232,delta_like,6.714347753561078,5.821014509561101
