run_id,target_name,family,type,d_total,d_spacing,d_mass,enough_levels
16.0,pion,pion_like,meson,32.21836641110263,5.693367737352558,26.52499867375007,1
16.0,rho,rho_like,meson,11.722221839711942,5.555555378600822,6.166666461111121,1
16.0,kaon,kaon_like,meson,15.23058375172198,2.9639174939441832,12.266666257777796,1
16.0,phi,phi_like,meson,0.9999999500000034,nan,0.9999999500000034,1
16.0,proton,nucleon_like,baryon,4.269239141229872,4.269239141229872,nan,0
16.0,neutron,nucleon_like,baryon,4.269239141229872,4.269239141229872,nan,0
16.0,delta_1232,delta_like,baryon,7.872342794164274,4.2723428841642725,3.5999999100000015,1
16.0,quark_ud_const,quark_like,effective_quark,14.019148658775018,0.3191489327750134,13.699999726000005,1
16.0,quark_s_const,quark_like,effective_quark,9.999999800000007,2.2204460270458527e-15,9.999999800000005,1
17.0,pion,pion_like,meson,0.0,nan,nan,0
17.0,rho,rho_like,meson,0.0,nan,nan,0
17.0,kaon,kaon_like,meson,0.0,nan,nan,0
17.0,phi,phi_like,meson,48.999997550000124,nan,48.999997550000124,1
17.0,proton,nucleon_like,baryon,0.0,nan,nan,0
17.0,neutron,nucleon_like,baryon,0.0,nan,nan,0
17.0,delta_1232,delta_like,baryon,0.0,nan,nan,0
17.0,quark_ud_const,quark_like,effective_quark,0.0,nan,nan,0
17.0,quark_s_const,quark_like,effective_quark,0.0,nan,nan,0
18.0,pion,pion_like,meson,53.121681561860086,7.846683825609956,45.27499773625013,1
18.0,rho,rho_like,meson,18.018517974828566,3.5185184581618736,14.49999951666669,1
18.0,kaon,kaon_like,meson,30.415291210004778,5.648625368893626,24.766665841111152,1
18.0,phi,phi_like,meson,23.99999880000007,nan,23.99999880000007,1
18.0,proton,nucleon_like,baryon,16.243867151172612,3.4855342431170286,12.758332908055582,1
18.0,neutron,nucleon_like,baryon,16.243867151172612,3.4855342431170286,12.758332908055582,1
18.0,delta_1232,delta_like,baryon,6.347161678287243,2.030495119537234,4.316666558750009,1
18.0,quark_ud_const,quark_like,effective_quark,23.540425083016757,2.3404255070167475,21.19999957600001,1
18.0,quark_s_const,quark_like,effective_quark,19.99999962500001,2.499999974999998,17.499999650000014,1
19.0,pion,pion_like,meson,36.62405109811531,9.384766745793812,27.239284352321498,1
19.0,rho,rho_like,meson,38.944443154526795,24.603173791299263,14.34126936322753,1
19.0,kaon,kaon_like,meson,19.309130602428958,7.566273851000373,11.742856751428583,1
19.0,phi,phi_like,meson,22.428570307142916,nan,22.428570307142916,1
19.0,proton,nucleon_like,baryon,31.930239218990792,18.212382533395537,13.717856685595256,1
19.0,neutron,nucleon_like,baryon,31.930239218990792,18.212382533395537,13.717856685595256,1
19.0,delta_1232,delta_like,baryon,32.354743809738515,18.04045845330993,14.314285356428584,1
19.0,quark_ud_const,quark_like,effective_quark,8.225835741439436,4.240121535439435,3.985714206000001,1
19.0,quark_s_const,quark_like,effective_quark,8.571428442857144,4.285714242857142,4.285714200000001,1
20.0,pion,pion_like,meson,32.21836641110262,5.693367737352562,26.524998673750062,1
20.0,rho,rho_like,meson,11.72222183971195,5.555555378600834,6.166666461111117,1
20.0,kaon,kaon_like,meson,15.230583751721976,2.9639174939441877,12.26666625777779,1
20.0,phi,phi_like,meson,0.9999999500000034,nan,0.9999999500000034,1
20.0,proton,nucleon_like,baryon,17.9084136624357,9.316747282157905,8.591666380277792,1
20.0,neutron,nucleon_like,baryon,17.9084136624357,9.316747282157905,8.591666380277792,1
20.0,delta_1232,delta_like,baryon,7.872342794164279,4.272342884164273,3.599999910000005,1
20.0,quark_ud_const,quark_like,effective_quark,14.019148658775011,0.31914893277500866,13.699999726000001,1
20.0,quark_s_const,quark_like,effective_quark,9.999999800000003,2.2204460270458527e-15,9.999999800000001,1
21.0,pion,pion_like,meson,0.0,nan,nan,0
21.0,rho,rho_like,meson,0.0,nan,nan,0
21.0,kaon,kaon_like,meson,0.0,nan,nan,0
21.0,phi,phi_like,meson,48.999997550000124,nan,48.999997550000124,1
21.0,proton,nucleon_like,baryon,0.0,nan,nan,0
21.0,neutron,nucleon_like,baryon,0.0,nan,nan,0
21.0,delta_1232,delta_like,baryon,0.0,nan,nan,0
21.0,quark_ud_const,quark_like,effective_quark,0.0,nan,nan,0
21.0,quark_s_const,quark_like,effective_quark,0.0,nan,nan,0
22.0,pion,pion_like,meson,0.0,nan,nan,0
22.0,rho,rho_like,meson,0.0,nan,nan,0
22.0,kaon,kaon_like,meson,0.0,nan,nan,0
22.0,phi,phi_like,meson,48.999997550000124,nan,48.999997550000124,1
22.0,proton,nucleon_like,baryon,0.0,nan,nan,0
22.0,neutron,nucleon_like,baryon,0.0,nan,nan,0
22.0,delta_1232,delta_like,baryon,0.0,nan,nan,0
22.0,quark_ud_const,quark_like,effective_quark,0.0,nan,nan,0
22.0,quark_s_const,quark_like,effective_quark,0.0,nan,nan,0
23.0,pion,pion_like,meson,0.0,nan,nan,0
23.0,rho,rho_like,meson,0.0,nan,nan,0
23.0,kaon,kaon_like,meson,0.0,nan,nan,0
23.0,phi,phi_like,meson,48.999997550000124,nan,48.999997550000124,1
23.0,proton,nucleon_like,baryon,0.0,nan,nan,0
23.0,neutron,nucleon_like,baryon,0.0,nan,nan,0
23.0,delta_1232,delta_like,baryon,0.0,nan,nan,0
23.0,quark_ud_const,quark_like,effective_quark,0.0,nan,nan,0
23.0,quark_s_const,quark_like,effective_quark,0.0,nan,nan,0
24.0,pion,pion_like,meson,0.0,nan,nan,0
24.0,rho,rho_like,meson,0.0,nan,nan,0
24.0,kaon,kaon_like,meson,0.0,nan,nan,0
24.0,phi,phi_like,meson,48.999997550000124,nan,48.999997550000124,1
24.0,proton,nucleon_like,baryon,0.0,nan,nan,0
24.0,neutron,nucleon_like,baryon,0.0,nan,nan,0
24.0,delta_1232,delta_like,baryon,0.0,nan,nan,0
24.0,quark_ud_const,quark_like,effective_quark,0.0,nan,nan,0
24.0,quark_s_const,quark_like,effective_quark,0.0,nan,nan,0
25.0,pion,pion_like,meson,40.5796924714056,6.554694172655518,34.024998298750084,1
25.0,rho,rho_like,meson,13.944444008436225,4.4444443251028805,9.499999683333344,1
25.0,kaon,kaon_like,meson,21.304466735035096,4.037800643923961,17.266666091111134,1
25.0,phi,phi_like,meson,8.99999955000002,nan,8.99999955000002,1
25.0,proton,nucleon_like,baryon,3.415391330060856,3.415391330060856,nan,0
25.0,neutron,nucleon_like,baryon,3.415391330060856,3.415391330060856,nan,0
25.0,delta_1232,delta_like,baryon,2.851207655183673,1.7512076826836718,1.0999999725000016,1
25.0,quark_ud_const,quark_like,effective_quark,17.444680509141698,0.7446808431416919,16.699999666000007,1
25.0,quark_s_const,quark_like,effective_quark,13.999999730000004,0.9999999899999987,12.999999740000005,1
26.0,pion,pion_like,meson,46.153909844940905,7.128911796190827,39.02499804875008,1
26.0,rho,rho_like,meson,15.42592545425241,3.7037036227709237,11.722221831481486,1
26.0,kaon,kaon_like,meson,25.35372205724383,4.753722743910481,20.599999313333345,1
26.0,phi,phi_like,meson,15.666665883333357,nan,15.666665883333357,1
26.0,proton,nucleon_like,baryon,16.469497893457653,5.100053827994686,11.369444065462968,1
26.0,neutron,nucleon_like,baryon,16.469497893457653,5.100053827994686,11.369444065462968,1
26.0,delta_1232,delta_like,baryon,3.0888082960091605,0.8554750185091664,2.233333277499994,1
26.0,quark_ud_const,quark_like,effective_quark,20.153900319752832,1.4539006937528305,18.699999626,1
26.0,quark_s_const,quark_like,effective_quark,16.66666635,1.666666650000001,14.999999699999998,1
27.0,pion,pion_like,meson,18.282822977264324,4.2578236785142956,14.02499929875003,1
27.0,rho,rho_like,meson,13.01851805850482,7.407407134430738,5.611110924074082,1
27.0,kaon,kaon_like,meson,5.107445446200115,1.1741122439778904,3.933333202222225,1
27.0,phi,phi_like,meson,17.66666578333338,nan,17.66666578333338,1
27.0,proton,nucleon_like,baryon,8.999038654055429,8.999038654055429,nan,0
27.0,neutron,nucleon_like,baryon,8.999038654055429,8.999038654055429,nan,0
27.0,delta_1232,delta_like,baryon,16.24090135913195,8.474234886631942,7.766666472500007,1
27.0,quark_ud_const,quark_like,effective_quark,10.792198385302852,2.0921985593028514,8.699999826,1
27.0,quark_s_const,quark_like,effective_quark,6.66666655,1.6666666499999998,4.999999900000001,1
28.0,pion,pion_like,meson,62.87656196554687,8.851564666796742,54.02499729875013,1
28.0,rho,rho_like,meson,24.93209799929129,6.543209723365344,18.388888275925947,1
28.0,kaon,kaon_like,meson,37.50148802387007,6.901489043870034,30.59999898000003,1
28.0,phi,phi_like,meson,35.66666488333341,nan,35.66666488333341,1
28.0,proton,nucleon_like,baryon,19.555192854560094,4.85241556687489,14.702777287685203,1
