Nucleon_like_d_spacing,Nucleon_like_d_total,Nucleon_like_has_enough_levels,Nucleon_like_is_match,Nucleon_like_n_levels_sim,Pion_like_d_spacing,Pion_like_d_total,Pion_like_has_enough_levels,Pion_like_is_match,Pion_like_n_levels_sim,R_S1_Q,R_S2_S1,R_S3_S2,Rho_like_d_spacing,Rho_like_d_total,Rho_like_has_enough_levels,Rho_like_is_match,Rho_like_n_levels_sim,band_count,first_energy,has_s2_dominant,s2_band_fraction,s3_band_fraction,second_energy,spacing_mean,spacing_std,third_energy
6.558625576,6.558625576,TRUE,FALSE,7,4.282227964,4.282227964,TRUE,FALSE,7,2.801068614,2.405614815,9.321719501,7.433862434,7.433862434,TRUE,FALSE,7,7,0.666666667,0,0,0,0.833333333,0.333333333,0.372677996,2
nan,nan,FALSE,FALSE,3,2.499374844,2.499374844,TRUE,FALSE,3,2.961945091,2.251967544,7.400845943,4.873698583,4.873698583,TRUE,FALSE,3,3,0.322580645,1,0.333333333,0,0.903225806,0.838709677,0.258064516,2
1.842265068,1.842265068,TRUE,FALSE,4,3.769533653,3.769533653,TRUE,FALSE,4,2.847208472,1.91178173,9.3235078,2.142857143,2.142857143,TRUE,FALSE,4,4,1.428571429,0,0,0,1.714285714,0.285714286,2.10E-16,2
7.408784981,7.408784981,TRUE,FALSE,4,4.282227964,4.282227964,TRUE,FALSE,4,2.650587112,2.363078622,9.222166252,7.433862434,7.433862434,TRUE,FALSE,4,4,0.666666667,0,0,0,0.833333333,0.555555556,0.437444882,2
6.853819813,6.853819813,TRUE,FALSE,4,4.52148531,4.52148531,TRUE,FALSE,4,2.425344015,1.731657436,9.26593922,7.433862434,7.433862434,TRUE,FALSE,4,4,0.777777778,0,0,0,0.888888889,0.444444444,0.471404521,2
nan,nan,FALSE,FALSE,3,4.216975961,4.216975961,TRUE,FALSE,3,2.002254374,1.57914802,8.919218893,3.075998076,3.075998076,TRUE,FALSE,3,3,1.636363636,0,0,0,1.818181818,0.181818182,1.11E-16,2
6.381509033,6.381509033,TRUE,FALSE,5,4.425782372,4.425782372,TRUE,FALSE,5,2.597552847,1.903839509,5.121822505,7.081128748,7.081128748,TRUE,FALSE,5,5,0.8,0,0,0,0.933333333,0.366666667,0.404145188,2
5.673042862,5.673042862,TRUE,FALSE,5,4.425782372,4.425782372,TRUE,FALSE,5,2.292388317,1.908454668,4.311838568,6.375661376,6.375661376,TRUE,FALSE,5,5,0.933333333,0,0,0,1.066666667,0.366666667,0.331662479,2
6.912858661,6.912858661,TRUE,FALSE,4,4.569336779,4.569336779,TRUE,FALSE,4,2.297623344,1.754959472,6.064794456,7.433862434,7.433862434,TRUE,FALSE,4,4,0.8,0,0,0,0.9,0.433333333,0.471404521,2
7.630180659,7.630180659,TRUE,FALSE,4,4.461670973,4.461670973,TRUE,FALSE,4,2.69628895,2.261547244,5.277578098,8.095238095,8.095238095,TRUE,FALSE,4,4,0.625,0,0,0,0.75,0.541666667,0.503460249,2
