run_id,best_target,best_family,best_d_total
1863.0,pion,pion_like,0.0
1864.0,phi,phi_like,0.9999999500000034
1865.0,proton,nucleon_like,0.01996007944191903
1866.0,phi,phi_like,0.999999950000009
1867.0,delta_1232,delta_like,7.741921439115187
1868.0,delta_1232,delta_like,0.0
1869.0,phi,phi_like,0.9999999500000034
1870.0,delta_1232,delta_like,8.857729247777536
1871.0,pion,pion_like,0.0
1872.0,pion,pion_like,0.0
1873.0,pion,pion_like,0.0
1874.0,phi,phi_like,0.9999999500000034
1875.0,delta_1232,delta_like,14.533795057059962
1876.0,pion,pion_like,0.0
1877.0,delta_1232,delta_like,12.205152673764598
1878.0,delta_1232,delta_like,9.770662909410369
1879.0,pion,pion_like,0.0
1880.0,pion,pion_like,0.0
1881.0,delta_1232,delta_like,7.201086793453655
1882.0,delta_1232,delta_like,2.8512076551836802
1883.0,pion,pion_like,0.0
1884.0,phi,phi_like,0.9999999500000034
1885.0,rho,rho_like,10.202020050879169
1886.0,phi,phi_like,0.999999950000009
1887.0,kaon,kaon_like,5.107445446200111
1888.0,kaon,kaon_like,16.615893062267777
1889.0,kaon,kaon_like,5.107445446200115
1890.0,pion,pion_like,0.0
1891.0,pion,pion_like,0.0
1892.0,pion,pion_like,0.0
1893.0,proton,nucleon_like,7.80780298012175
1894.0,delta_1232,delta_like,2.6721013887658267
1895.0,proton,nucleon_like,2.84615945594817
1896.0,proton,nucleon_like,2.846159455948176
1897.0,pion,pion_like,0.0
1898.0,delta_1232,delta_like,11.726949327195017
1899.0,pion,pion_like,0.0
1900.0,delta_1232,delta_like,2.851207655183669
1901.0,delta_1232,delta_like,0.0
1902.0,pion,pion_like,0.0
1903.0,pion,pion_like,0.0
1904.0,proton,nucleon_like,5.615606245229077
1905.0,pion,pion_like,0.0
1906.0,delta_1232,delta_like,4.553899128651302
1907.0,delta_1232,delta_like,0.7246376647500483
1908.0,pion,pion_like,0.0
1909.0,kaon,kaon_like,5.10744544620012
1910.0,kaon,kaon_like,5.10744544620012
1911.0,pion,pion_like,0.0
1912.0,pion,pion_like,0.0
1913.0,delta_1232,delta_like,0.7850241368125662
1914.0,phi,phi_like,0.999999950000009
1915.0,pion,pion_like,0.0
1916.0,pion,pion_like,0.0
1917.0,pion,pion_like,0.0
1918.0,proton,nucleon_like,2.846159455948183
1919.0,delta_1232,delta_like,0.0
1920.0,delta_1232,delta_like,2.8512076551836802
1921.0,pion,pion_like,0.0
1922.0,phi,phi_like,0.999999950000009
1923.0,kaon,kaon_like,5.10744544620012
1924.0,pion,pion_like,0.0
1925.0,phi,phi_like,0.9999999500000034
1926.0,pion,pion_like,0.0
1927.0,delta_1232,delta_like,0.0
1928.0,delta_1232,delta_like,7.9360537231617725
1929.0,pion,pion_like,0.0
