R_S1_Q,R_S2_S1,R_S3_S2,band_count,band_energies_gev,delta_like_d_spacing,delta_like_d_total,delta_like_has_enough_levels,delta_like_is_match,delta_like_n_levels_sim,first_energy,has_s2_dominant,has_s3_dominant,kaon_like_d_spacing,kaon_like_d_total,kaon_like_has_enough_levels,kaon_like_is_match,kaon_like_n_levels_sim,lock_quality_Q,lock_quality_S1,lock_quality_S2,nucleon_like_d_spacing,nucleon_like_d_total,nucleon_like_has_enough_levels,nucleon_like_is_match,nucleon_like_n_levels_sim,pion_like_d_spacing,pion_like_d_total,pion_like_has_enough_levels,pion_like_is_match,pion_like_n_levels_sim,quark_like_d_spacing,quark_like_d_total,quark_like_has_enough_levels,quark_like_is_match,quark_like_n_levels_sim,rho_like_d_spacing,rho_like_d_total,rho_like_has_enough_levels,rho_like_is_match,rho_like_n_levels_sim,run_id,s2_band_fraction,s2_state,s2_total_fraction,s3_band_fraction,s3_state,s3_total_fraction,second_energy,spacing_mean,spacing_std,structure_tier,third_energy
2.0202339301679637,6.436615699549705,,3,"[1.5555555555555558, 1.7777777777777781, 2.0]",1.6832504145936997,1.6832504145936997,True,False,3,1.5555555555555558,0,0,3.575498575498574,3.575498575498574,True,False,3,0.9917239623211015,0.008269212196794242,6.8254821043170084e-06,nan,nan,False,False,3,4.042145593869732,4.042145593869732,True,False,3,2.635933806146571,2.635933806146571,True,False,3,2.6608187134502934,2.6608187134502934,True,False,3,37,0.0,none,0.00041046053595482015,0.0,absent,,1.7777777777777781,0.2222222222222221,2.220446049250313e-16,level1,2.0
8.625856466935144,7.0540665187953815,,4,"[0.6666666666666666, 1.3333333333333333, 2.0, 2.6666666666666665]",4.950248756218907,4.950248756218907,True,False,4,0.6666666666666666,0,0,0.7264957264957268,0.7264957264957268,True,True,4,0.9997017405646975,0.00029772049840766016,5.38936894771585e-07,5.638297872340426,5.638297872340426,True,False,4,2.126436781609196,2.126436781609196,True,False,4,2.092198581560283,2.092198581560283,True,False,4,2.1578947368421053,2.1578947368421053,True,False,4,38,0.0,none,4.619785993848176e-05,0.0,absent,,1.3333333333333333,0.6666666666666666,9.064933036736789e-17,level1,2.0
3.589404039152427,4.185865027924177,,3,"[1.4999999999999998, 1.75, 1.9999999999999998]",1.2686567164179101,1.2686567164179101,True,False,3,1.4999999999999998,0,0,3.3974358974358956,3.3974358974358956,True,False,3,0.9996572920527013,0.00034231348502282216,3.944622759204135e-07,nan,nan,False,False,3,3.922413793103447,3.922413793103447,True,False,3,2.340425531914891,2.340425531914891,True,False,3,2.3684210526315788,2.3684210526315788,True,False,3,39,0.0,none,3.944622759204135e-07,0.0,absent,,1.75,0.25,2.220446049250313e-16,level1,1.9999999999999998
6.560415718831767,5.0650576258497795,,3,"[1.3333333333333333, 1.666666666666667, 2.0]",0.5223880597014898,0.5223880597014898,True,True,3,1.3333333333333333,0,0,2.8632478632478606,2.8632478632478606,True,False,3,0.9980227404776114,0.0019756994256013116,1.560096787237603e-06,nan,nan,False,False,3,3.5632183908045962,3.5632183908045962,True,False,3,1.4539007092198544,1.4539007092198544,True,False,3,2.1578947368421013,2.1578947368421013,True,False,3,40,0.0,none,0.0004048413550177387,0.0,absent,,1.666666666666667,0.33333333333333337,3.3306690738754696e-16,level1,2.0
6.517554015871422,9.598783036576846,,1,[2.0],nan,nan,False,False,1,2.0,0,0,nan,nan,False,False,1,0.9999328280275966,6.681654491552947e-05,3.55427487763649e-07,nan,nan,False,False,1,nan,nan,False,False,1,nan,nan,False,False,1,nan,nan,False,False,1,41,0.0,none,3.55427487763649e-07,0.0,absent,,nan,nan,nan,level1,nan
2.4931709874379964,6.3183717020528904,,4,"[1.5555555555555556, 1.777777777777778, 2.0, 2.2222222222222223]",1.6832504145936982,1.6832504145936982,True,False,4,1.5555555555555556,0,0,3.575498575498574,3.575498575498574,True,False,4,0.999517027295848,0.00048224647122876015,7.262329233111889e-07,2.0094562647754155,2.0094562647754155,True,False,4,4.042145593869732,4.042145593869732,True,False,4,2.635933806146571,2.635933806146571,True,False,4,2.6608187134502925,2.6608187134502925,True,False,4,42,0.0,none,7.262329233111889e-07,0.0,absent,,1.777777777777778,0.22222222222222224,1.050809133373904e-16,level1,2.0
2.042825486821278,3.035326957046182,,3,"[1.8095238095238095, 1.9047619047619047, 1.9999999999999998]",3.5785358919687296,3.5785358919687296,True,False,3,1.8095238095238095,0,0,4.38949938949939,4.38949938949939,True,False,3,0.9975284264463414,0.0024696855856970474,1.8879679616522868e-06,nan,nan,False,False,3,4.589490968801314,4.589490968801314,True,False,3,3.9868287740628174,3.9868287740628174,True,False,3,3.9974937343358405,3.9974937343358405,True,False,3,43,0.0,none,1.8879679616522868e-06,0.0,absent,,1.9047619047619047,0.09523809523809512,0.0,level1,1.9999999999999998
2.8897047348809077,3.6402452746709826,,4,"[1.6923076923076925, 1.8461538461538463, 2.0, 2.1538461538461537]",2.7037887485648695,2.7037887485648695,True,False,4,1.6923076923076925,0,0,4.013806706114399,4.013806706114399,True,False,4,0.9996215924681592,0.00037826294829255215,1.4458354843116846e-07,2.545008183306057,2.545008183306057,True,False,4,4.336870026525199,4.336870026525199,True,False,4,3.3633387888707045,3.3633387888707045,True,False,4,3.3805668016194343,3.3805668016194343,True,False,4,44,0.0,none,1.4458354843116846e-07,0.0,absent,,1.8461538461538463,0.15384615384615374,0.0,level1,2.0
2.8705758195837197,7.477983997137122,,1,[2.0],nan,nan,False,False,1,2.0,0,0,nan,nan,False,False,1,0.9996466485035492,0.00035304104163534443,3.104548154691821e-07,nan,nan,False,False,1,nan,nan,False,False,1,nan,nan,False,False,1,nan,nan,False,False,1,45,0.0,none,3.104548154691821e-07,0.0,absent,,nan,nan,nan,level1,nan
3.888422641162653,7.970677229640315,,4,"[1.0, 1.5000000000000002, 2.0, 2.5]",2.46268656716418,2.46268656716418,True,False,4,1.0,0,0,1.7948717948717934,1.7948717948717934,True,False,4,0.9992144918526654,0.0007853635938600754,1.445534746109234e-07,2.9787234042553195,2.9787234042553195,True,False,4,2.844827586206896,2.844827586206896,True,False,4,0.3191489361702148,0.3191489361702148,True,True,4,2.1578947368421026,2.1578947368421026,True,False,4,46,0.0,none,8.047673552253033e-05,0.0,absent,,1.5000000000000002,0.5,1.8129866073473578e-16,level1,2.0
7.44379554740716,4.732452506178986,,4,"[1.3333333333333333, 1.6666666666666665, 2.0, 2.3333333333333335]",0.5223880597014964,0.5223880597014964,True,True,4,1.3333333333333333,0,0,2.8632478632478633,2.8632478632478633,True,False,4,0.9992499253538791,0.0007496817245814331,3.9292153954368247e-07,2.092198581560286,2.092198581560286,True,False,4,3.563218390804598,3.563218390804598,True,False,4,1.453900709219859,1.453900709219859,True,False,4,2.157894736842106,2.157894736842106,True,False,4,47,0.0,none,3.9292153954368247e-07,0.0,absent,,1.6666666666666665,0.3333333333333334,1.0629576194313574e-16,level1,2.0
6.381865193297009,5.575628902332713,,2,"[1.4999999999999998, 2.0]",nan,nan,False,False,2,1.4999999999999998,0,0,1.7948717948717934,1.7948717948717934,True,False,2,0.9998488112205668,0.00015117527688032916,1.3502552750694674e-08,nan,nan,False,False,2,2.844827586206896,2.844827586206896,True,False,2,0.3191489361702148,0.3191489361702148,True,True,2,nan,nan,False,False,2,48,0.0,none,1.3502552750694674e-08,0.0,absent,,2.0,nan,nan,level1,nan
5.269353328266446,5.631478959625978,,4,"[1.2, 1.5999999999999999, 2.0, 2.4]",0.9701492537313442,0.9701492537313442,True,True,4,1.2,0,0,2.435897435897436,2.435897435897436,True,False,4,0.9996065325198393,0.0003804435839401833,1.3023896220586673e-05,2.446808510638299,2.446808510638299,True,False,4,3.275862068965518,3.275862068965518,True,False,4,0.744680851063831,0.744680851063831,True,True,4,2.157894736842106,2.157894736842106,True,False,4,49,0.0,none,1.3023896220586673e-05,0.0,absent,,1.5999999999999999,0.39999999999999997,1.0629576194313574e-16,level1,2.0
2.1076174035417874,2.970914857492797,,1,[1.9999999999999998],nan,nan,False,False,1,1.9999999999999998,0,0,nan,nan,False,False,1,0.9998702796744529,0.00012945574684440045,2.645787027633493e-07,nan,nan,False,False,1,nan,nan,False,False,1,nan,nan,False,False,1,nan,nan,False,False,1,50,0.0,none,2.645787027633493e-07,0.0,absent,,nan,nan,nan,level1,nan
4.6320332576845225,3.6264088669692898,,1,[2.0],nan,nan,False,False,1,2.0,0,0,nan,nan,False,False,1,0.9990550515567044,0.0009426729606256533,2.275482670036023e-06,nan,nan,False,False,1,nan,nan,False,False,1,nan,nan,False,False,1,nan,nan,False,False,1,51,0.0,none,2.275482670036023e-06,0.0,absent,,nan,nan,nan,level1,nan
