block_id,omega_ref_proxy,dof_grade,dof_family_id,dof_family_friendly,genes_min
4ae756d525d5c06f72ac9b6860b97291e65b1f4a52e8c903b47cb7fcacb6fb00,6.31176280161,B,e96db2b239065d32,e96db2b239065d32,{}
4c540a7f38b1565c22e4e31cfda4228b1ba66bc2b7a575c04ef43dc4701ad487,6.32812305346,B,775f59b690500c6a,775f59b690500c6a,{}
4e45187d4ccb7c7de32211c103b57bff372a58c4b106acd361d51469d7963f16,6.31860812487,B,ab12768a8b82e5ea,ab12768a8b82e5ea,{}
4ef32e095e026edee055a7e77f401ae6f05dbb6e4ab4670a1c0b3a17feaab4a8,6.34195124279,B,b2779210e3187fb5,b2779210e3187fb5,{}
511cf3137e9d111a4651815c9474062b1c9bb07c1793737b22021d28f0879e29,6.20386392179,B,75cd1ae2730857cb,75cd1ae2730857cb,{}
56fd6dc7ddabb2cd5fdeacc253e245ffc8aba46b6cbd9a6b02f6fe1fdf902a2b,6.23597933076,B,f78223699082dc64,f78223699082dc64,{}
5a34f0d936e549b0adee9ad3e19bf5bf1cd3159900536487af342d70f459c289,6.19785668707,B,169904b84b6e9a62,169904b84b6e9a62,{}
5aebf0da47bc55bc783310915b1380f129b1ef402ea8fb74dc6768690f74da3a,6.38260007166,B,a32b359eb39ba34e,a32b359eb39ba34e,{}
5af2e4f3bd92917c17197b68ab637ebe44d985596d29a347a0854a07d73f2a6c,6.3164204335,B,b01dafbece991d47,b01dafbece991d47,{}
5bb49d39bf9cc1d17c0c02ff7f83767fb1c99f81dd31da3454fef8fe641691b3,6.2601078486,B,3438ba1c3e51db60,3438ba1c3e51db60,{}
5dbc7b0ef64a85bb3a9f2cdae2d4bf8655eaa74dae82088e8573cb67cefca583,6.30887492715,B,f6d9895060767943,f6d9895060767943,{}
6146939865e06424d957b0e3b14b9910e777eced7dd6825aaabf0f18bd54e566,6.27726668221,B,169904b84b6e9a62,169904b84b6e9a62,{}
6585b226ce39e7efee01f01a05f36178bf1edd88cae8c1a8ffff2a15bb405524,6.18677061979,B,b2779210e3187fb5,b2779210e3187fb5,{}
68dff120abba32f6694000b0662059181da706ab40ca5d512e7c66972cb5af58,6.25596524646,B,b2779210e3187fb5,b2779210e3187fb5,{}
